
YT-广电,#genre#server="udpxy"&&region="Guangdong"&&city="Huizhou"&&org="Chinanet"[广东组播搜索]



CCTV-10科教（高清）,http://192.168.1.1:4022/rtp/239.12.22.30:10001
CCTV-11戏曲（高清）,http://192.168.1.1:4022/rtp/239.12.22.102:10001
CCTV-12社会（高清）,http://192.168.1.1:4022/rtp/239.12.22.31:10001
CCTV-13新闻（高清）,http://192.168.1.1:4022/rtp/239.12.22.114:10001
CCTV-14少儿（高清）,http://192.168.1.1:4022/rtp/239.12.22.32:10001
CCTV-15音乐（高清）,http://192.168.1.1:4022/rtp/239.12.22.103:10001
CCTV-16奥林匹克（4K）,http://192.168.1.1:4022/rtp/239.12.22.125:10001
CCTV-16奥林匹克（高清）,http://192.168.1.1:4022/rtp/239.12.22.124:10001
CCTV-17农业农村(高清),http://192.168.1.1:4022/rtp/239.12.22.101:10001
CCTV-1综合（高清）,http://192.168.1.1:4022/rtp/239.12.22.3:10001
CCTV-2财经（高清）,http://192.168.1.1:4022/rtp/239.12.22.27:10001
CCTV-3综艺（高清）,http://192.168.1.1:4022/rtp/239.12.22.5:10001
CCTV-4中文国际（高清）,http://192.168.1.1:4022/rtp/239.12.22.104:10001
CCTV-5+（高清）,http://192.168.1.1:4022/rtp/239.12.22.4:10001
CCTV-5体育（高清）,http://192.168.1.1:4022/rtp/239.12.22.6:10001
CCTV-6电影（高清）,http://192.168.1.1:4022/rtp/239.12.22.7:10001
CCTV-7国防军事（高清）,http://192.168.1.1:4022/rtp/239.12.22.28:10001
CCTV-8电视剧（高清）,http://192.168.1.1:4022/rtp/239.12.22.8:10001
CCTV-9纪录（高清）,http://192.168.1.1:4022/rtp/239.12.22.29:10001
CCTV超高清（4K）,http://192.168.1.1:4022/rtp/239.12.22.66:10001
CETV-1,http://192.168.1.1:4022/rtp/239.12.21.19:10001
CGTN,http://192.168.1.1:4022/rtp/239.12.21.21:10001
CHC影迷电影（高清特色）,http://192.168.1.1:4022/rtp/239.12.22.11:10001
G导视（高清）,http://192.168.1.1:4022/rtp/239.12.22.85:10001
世界地理(特色),http://192.168.1.1:4022/rtp/239.12.21.131:10001
东南卫视（高清）,http://192.168.1.1:4022/rtp/239.12.22.57:10001
东方卫视（高清）,http://192.168.1.1:4022/rtp/239.12.22.12:10001
东方财经（特色）,http://192.168.1.1:4022/rtp/239.12.21.133:10001
东方财经（高清特色）,http://192.168.1.1:4022/rtp/239.12.22.143:10001
中华美食（高清特色）,http://192.168.1.1:4022/rtp/239.12.22.115:10001
中国气象,http://192.168.1.1:4022/rtp/239.12.21.66:10001
乐游(特色),http://192.168.1.1:4022/rtp/239.12.21.135:10001
乐游（高清特色）,http://192.168.1.1:4022/rtp/239.12.22.36:10001
交通之声,http://192.168.1.1:4022/rtp/239.12.23.13:10001
优购物,http://192.168.1.1:4022/rtp/239.12.21.53:10001
佛山公共（高清）,http://192.168.1.1:4022/rtp/239.12.34.41:10001
佛山影视（大沥）,http://192.168.1.1:4022/rtp/239.12.34.97:10001
佛山影视（高清）,http://192.168.1.1:4022/rtp/239.12.34.42:10001
佛山电台真爱946,http://192.168.1.1:4022/rtp/239.12.34.22:10001
