
YT-广电,#genre#server="udpxy"&&region="Guangdong"&&city="Huizhou"&&org="Chinanet"[广东组播搜索]

凤凰资讯,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=HFib76ySpbU
中天新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=oIgbl7t0S_w
寰宇新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=6IquAgfvYmc
TVBS新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=2mCSYvcfhtc
民視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=ylYJSBUgaMA
華視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=wM0g8EoUZ_E
台視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,http://127.0.0.1:9978/proxy?do=yt&proxy=proxy&url=https://www.youtube.com/watch?v=TCnaIE_SAtM

凤凰资讯,https://ytb.ecword.cloudns.be/live?url=https://www.youtube.com/watch?v=HFib76ySpbU
中天新聞,https://ytb.ecword.cloudns.be/live?url=https://www.youtube.com/watch?v=oIgbl7t0S_w
寰宇新聞,https://ytb.ecword.cloudns.be/live?url=https://www.youtube.com/watch?v=6IquAgfvYmc
民視新聞,https://ytb.ecword.cloudns.be/live?url=https://www.youtube.com/watch?v=ylYJSBUgaMA
華視新聞,https://ytb.ecword.cloudns.be/live?url=https://www.youtube.com/watch?v=wM0g8EoUZ_E
台視新聞,https://ytb.ecword.cloudns.be/live?url=https://www.youtube.com/watch?v=xL0ch83RAK8
中視新聞,https://ytb.ecword.cloudns.be/live?url=https://www.youtube.com/watch?v=TCnaIE_SAtM

翡翠台,http://172.16.149.41:9090/live/1350_4500.m3u8
明珠台,http://172.16.149.41:9090/live/1351_4500.m3u8
广东珠江,http://172.16.149.41:9090/live/1437.m3u8
广东民生,http://172.16.149.41:9090/live/1455.m3u8
广东体育,http://172.16.149.41:9090/live/1413.m3u8
CHC影迷电影,http://172.16.149.41:9090/live/CHCHD_7000.m3u8
CHC家庭影院,http://172.16.149.41:9090/live/CHChometheatre_1500.m3u8
CHC动作电影,http://172.16.149.41:9090/live/CHCactionmovie_1500.m3u8

广东珠江,http://119.134.111.92:8888/udp/239.77.0.1:5146$高清
广东珠江,http://119.134.111.92:8888/udp/239.77.0.3:5146
广东珠江,http://119.134.111.92:8888/udp/239.77.0.114:5146$超清
广东民生,http://119.134.111.92:8888/udp/239.77.0.225:5146$高清
广东民生,http://119.134.111.92:8888/udp/239.77.0.5:5146
广东体育,http://119.134.111.92:8888/udp/239.77.0.112:5146$高清-测试
广东体育,http://119.134.111.92:8888/udp/239.77.0.6:5146
广东体育,http://119.134.111.92:8888/udp/239.77.0.168:5146$超清
广东影视,http://119.134.111.92:8888/udp/239.77.0.217:5146$高清
广东影视,http://119.134.111.92:8888/udp/239.77.0.11:5146
广东新闻,http://119.134.111.92:8888/udp/239.77.0.173:5146
佛山综合,http://119.134.111.92:8888/udp/239.253.43.57:5146$高清
佛山综合,http://119.134.111.92:8888/udp/239.253.43.52:5146
广东少儿,http://119.134.111.92:8888/rtp/239.77.0.250:5146$高清
嘉佳卡通,http://119.134.111.92:8888/rtp/239.77.0.179:5146$高清
金鹰卡通,http://119.134.111.92:8888/rtp/239.77.0.164:5146$高清
优漫卡通,http://119.134.111.92:8888/rtp/239.77.0.222:5146$高清
卡酷少儿,http://119.134.111.92:8888/rtp/239.77.0.79:5146$高清
哈哈炫动,http://119.134.111.92:8888/rtp/239.77.0.81:5146$高清
大湾区卫视,http://119.134.111.92:8888/udp/239.77.0.215:5146$高清
大湾区卫视,http://119.134.111.92:8888/udp/239.77.0.9:5146

广东珠江,http://183.236.32.24:9901/hls/1036/index.m3u8
广东民生,http://183.236.32.24:9901/hls/1038/index.m3u8
广东体育,http://183.236.32.24:9901/hls/1039/index.m3u8
广东影视,http://183.236.32.24:9901/hls/1045/index.m3u8
广东新闻,http://183.236.32.24:9901/hls/1037/index.m3u8
广东少儿,http://183.236.32.24:9901/hls/1046/index.m3u8
广州综合,http://183.236.32.24:9901/hls/1040/index.m3u8
广州新闻,http://183.236.32.24:9901/hls/1041/index.m3u8
广州影视,http://183.236.32.24:9901/hls/1042/index.m3u8
大湾区卫视,http://183.236.32.24:9901/hls/1019/index.m3u8


港澳台,#genre#
翡翠台,http://185.81.28.58/🥝.php?id=ca9b19519b657d524c001ef858181b5d
TVB Plus,http://185.81.28.58/🥝.php?id=6c926e1cfe37408a9fc33d9666854c33
TVB无线新闻台,http://185.81.28.58/🥝.php?id=f7b4583df4a36084ee912dbe42ae7432
TVB明珠台,http://185.81.28.58/🥝.php?id=cadf460aacc566024c43c7c43091734c
TVB生活台,http://185.81.28.58/🥝.php?id=77c4764dfdb53dcce1e0655b73e8bff0
TVB直播台,http://185.81.28.58/🥝.php?id=06c4a06aa235a65f69fe56bf43547a45
TVB星河频道,http://185.81.28.58/🥝.php?id=a3ac097f949ef65cad4cf98c3b8c68bb
凤凰资讯台,http://185.81.28.58/🥝.php?id=b52ed95ecc9995cb7a418061040c740f
凤凰香港台,http://185.81.28.58/🥝.php?id=3e1c841a88936f2516958c3c589efc85
凤凰中文台,http://185.81.28.58/🥝.php?id=9936695abc4b24ad02c83f4a41796871
星空卫视,http://185.81.28.58/🥝.php?id=bc420cf8383e85e20fbd61ff9d072254
TVB1,http://185.81.28.58/🥝.php?id=8fd573ce089e562656ce0be2d7fa6a63
TVB Pearl Drama 明珠劇集台,http://185.81.28.58/🥝.php?id=55110e5dd423d5936f6ef89b585127cf
TVBJ1,http://185.81.28.58/🥝.php?id=0981ce8102e6e0148d5f1ab4da5ee816
TVB Drama 翡翠劇集台,http://185.81.28.58/🥝.php?id=fe642fba30e681b66b6381423be271a1
TVB E 翡翠娛樂台,http://185.81.28.58/🥝.php?id=de94fdea9061e2bfedaab9da5629da49
POP C,http://185.81.28.58/🥝.php?id=207f66479c7bc674042eafc3a84a1f83
Now爆谷台,http://185.81.28.58/🥝.php?id=2f7f73063b6a69d8fd0d3f30a160ba2e
Now爆谷星影台,http://185.81.28.58/🥝.php?id=44c87e7ae698b41e4bd6337676c349e8
Now華劇台,http://185.81.28.58/🥝.php?id=2bbbd81fc6c51c7da97839701c0bd5b3
Now劇集台,http://185.81.28.58/🥝.php?id=54799d0d4a8a5a23288e8538cb8033d6
