IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
192.9.246.112,8443,true,SJC,North America,San Jose,188 ms,9711 kB/s
150.230.47.17,443,true,SJC,North America,San Jose,189 ms,9249 kB/s
152.70.117.136,443,true,SJC,North America,San Jose,180 ms,8994 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,204 ms,7147 kB/s
34.141.115.112,443,true,FRA,Europe,Frankfurt,240 ms,6273 kB/s
150.230.122.76,443,true,LHR,Europe,London,239 ms,6085 kB/s
34.118.109.211,443,true,FRA,Europe,Frankfurt,271 ms,5993 kB/s
84.8.148.235,8443,true,LHR,Europe,London,247 ms,5747 kB/s
34.154.169.50,443,true,FRA,Europe,Frankfurt,245 ms,5685 kB/s
152.70.155.147,8443,true,LAX,North America,Los Angeles,249 ms,5557 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,244 ms,5532 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,272 ms,5458 kB/s
34.118.30.13,443,true,FRA,Europe,Frankfurt,264 ms,5227 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,251 ms,5073 kB/s
35.204.87.166,443,true,FRA,Europe,Frankfurt,262 ms,5030 kB/s
193.123.81.105,443,true,FRA,Europe,Frankfurt,190 ms,4993 kB/s
34.118.46.204,443,true,FRA,Europe,Frankfurt,263 ms,4984 kB/s
129.146.7.98,443,true,LAX,North America,Los Angeles,274 ms,4926 kB/s
34.90.108.106,443,true,FRA,Europe,Frankfurt,250 ms,4857 kB/s
34.147.119.8,443,true,FRA,Europe,Frankfurt,255 ms,4841 kB/s
150.136.241.40,8443,true,IAD,North America,Ashburn,234 ms,4523 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,259 ms,4434 kB/s
132.145.54.84,2053,true,LHR,Europe,London,240 ms,4360 kB/s
34.118.110.180,443,true,FRA,Europe,Frankfurt,262 ms,4296 kB/s
146.56.132.247,443,true,NRT,Asia Pacific,Tokyo,69 ms,4273 kB/s
34.116.249.207,443,true,FRA,Europe,Frankfurt,271 ms,4179 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,187 ms,4127 kB/s
129.151.205.193,443,true,ARN,Europe,Stockholm,274 ms,4104 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,262 ms,4067 kB/s
143.47.243.144,8443,true,LHR,Europe,London,267 ms,3771 kB/s
158.101.11.22,8443,true,LAX,North America,Los Angeles,254 ms,3690 kB/s
34.118.116.97,443,true,FRA,Europe,Frankfurt,279 ms,3649 kB/s
152.70.148.46,2053,true,LAX,North America,Los Angeles,250 ms,3516 kB/s
204.216.105.106,8443,true,YUL,North America,Montréal,254 ms,3445 kB/s
34.118.115.199,443,true,FRA,Europe,Frankfurt,269 ms,3410 kB/s
152.70.155.147,2053,true,LAX,North America,Los Angeles,250 ms,3346 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,249 ms,3287 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,256 ms,3110 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,326 ms,2843 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,248 ms,2722 kB/s
143.47.243.144,2053,true,LHR,Europe,London,243 ms,2702 kB/s
152.70.234.188,443,true,NRT,Asia Pacific,Tokyo,75 ms,2700 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,257 ms,2659 kB/s
129.153.213.8,443,true,LAX,North America,Los Angeles,254 ms,2623 kB/s
34.118.11.228,443,true,FRA,Europe,Frankfurt,250 ms,2550 kB/s
35.246.232.231,443,true,FRA,Europe,Frankfurt,236 ms,2537 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,272 ms,2473 kB/s
132.145.54.84,8443,true,LHR,Europe,London,241 ms,2407 kB/s
129.159.47.255,443,true,SJC,North America,San Jose,175 ms,2397 kB/s
132.145.245.82,443,true,FRA,Europe,Frankfurt,262 ms,2342 kB/s
34.89.158.25,443,true,FRA,Europe,Frankfurt,248 ms,2287 kB/s
152.70.155.147,443,true,LAX,North America,Los Angeles,253 ms,2281 kB/s
130.162.43.199,443,true,FRA,Europe,Frankfurt,259 ms,2215 kB/s
144.21.52.233,443,true,FRA,Europe,Frankfurt,260 ms,2151 kB/s
34.118.112.88,443,true,FRA,Europe,Frankfurt,271 ms,2086 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,338 ms,2047 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,258 ms,2031 kB/s
34.34.59.217,443,true,FRA,Europe,Frankfurt,239 ms,2006 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,250 ms,1979 kB/s
34.118.67.148,443,true,FRA,Europe,Frankfurt,270 ms,1945 kB/s
34.116.253.136,443,true,FRA,Europe,Frankfurt,275 ms,1939 kB/s
34.118.47.106,443,true,FRA,Europe,Frankfurt,252 ms,1930 kB/s
34.116.189.118,443,true,FRA,Europe,Frankfurt,257 ms,1926 kB/s
34.116.205.19,443,true,FRA,Europe,Frankfurt,272 ms,1924 kB/s
35.198.126.44,443,true,FRA,Europe,Frankfurt,231 ms,1877 kB/s
